INITIAL,GENE NAME,NORMAL FUNCTION,HEALTH CONDITIONS RELATED TO GENETIC CHANGE
ADAMTS2 ,ADAM metallopeptidase with thrombospondin type 1 motif 2,"The ADAMTS2 gene provides instructions for making an enzyme that processes several types of procollagen molecules. Procollagens are the precursors of collagens, which are complex molecules found in the spaces between cells that add strength, support, and stretchiness (elasticity) to many body tissues. The ADAMTS2 enzyme cuts a short chain of protein building blocks (amino acids) off one end of procollagens. This clipping step is necessary for the resulting collagen molecules to assemble into strong, slender fibrils.","Ehlers-Danlos syndrome Several mutations in the ADAMTS2 gene have been identified in people with a form of Ehlers-Danlos syndrome called the dermatosparaxis type. Ehlers-Danlos syndrome is a group of disorders that affect the connective tissues supporting the skin, bones, blood vessels, and many other organs and tissues. The dermatosparaxis type is characterized by soft, fragile skin that sags and wrinkles; easy bruising; and distinctive facial features.Mutations in the ADAMTS2 gene greatly reduce the production or activity of the ADAMTS2 enzyme. Without enough of this enzyme, procollagens cannot be processed correctly. As a result, collagen fibrils are not assembled properly. The resulting fibrils are disorganized, which weakens connective tissues and leads to the signs and symptoms of the disorder. "
ADAMTS10 ,ADAM metallopeptidase with thrombospondin type 1 motif 10,"The ADAMTS10 gene provides instructions for making an enzyme that is found in many of the body's cells and tissues. This enzyme is part of a family of metalloproteases, which are zinc-containing enzymes that cut apart other proteins. Although the function of the ADAMTS10 enzyme is unknown, it is critical for growth before and after birth. Researchers believe that it may be involved in the development of structures including the skin, eyes, heart, and skeleton.","Weill-Marchesani syndrome At least five mutations in the ADAMTS10 gene have been identified in people with Weill-Marchesani syndrome. Each of these mutations prevents the cell from producing any functional ADAMTS10 enzyme. Researchers speculate that a loss of this enzyme disrupts skeletal development, leading to short stature and unusually short fingers and toes (brachydactyly). A shortage of the ADAMTS10 enzyme also interferes with the development and function of the lens of the eye, causing eye abnormalities and impaired vision. Additionally, a lack of this enzyme may disrupt the normal development of the heart, resulting in the heart defects occasionally seen in people with Weill-Marchesani syndrome. "
ADAMTS13 ,ADAM metallopeptidase with thrombospondin type 1 motif 13,"The ADAMTS13 gene provides instructions for making an enzyme that is involved in blood clotting. After an injury, clots normally protect the body by sealing off damaged blood vessels and preventing further blood loss.The ADAMTS13 enzyme processes a large protein called von Willebrand factor, which also plays a role in clot formation. The unprocessed form of von Willebrand factor interacts easily with cells called platelets, which circulate in the bloodstream and are essential for blood clotting. The factor helps platelets stick together and adhere to the walls of blood vessels, forming temporary clots. The ADAMTS13 enzyme cuts von Willebrand factor into smaller pieces. By processing von Willebrand factor in this way, the enzyme prevents it from triggering the formation of unnecessary blood clots.","Thrombotic thrombocytopenic purpura More than 70 mutations in the ADAMTS13 gene have been reported in people with the familial form of thrombotic thrombocytopenic purpura. Most of these mutations change single protein building blocks (amino acids) in the ADAMTS13 enzyme. Other mutations lead to the production of an abnormally small version of the enzyme that cannot function properly.Mutations in the ADAMTS13 gene severely reduce the activity of the ADAMTS13 enzyme. As a result, von Willebrand factor is not processed normally in the bloodstream. If the factor is not cut into smaller fragments by the ADAMTS13 enzyme, it promotes the formation of abnormal clots throughout the body. The large, uncut version of von Willebrand factor induces platelets to stick together and adhere to the walls of blood vessels, even in the absence of injury. Additional factors such as pregnancy, diarrhea, surgery, and infection likely play a role in triggering abnormal clotting. Blood clots can block blood flow through small vessels, causing damage to the brain, kidneys, heart, and other organs. Abnormal clotting also causes other complications associated with thrombotic thrombocytopenic purpura. "
ADAMTSL2 ,ADAMTS like 2,"The ADAMTSL2 gene provides instructions for making a protein whose function is unknown. The ADAMTSL2 protein is active in many different tissues. It is found in the extracellular matrix, which is the intricate lattice of proteins and other molecules that forms in the spaces between cells.Studies suggest that the ADAMTSL2 protein interacts with a protein called latent transforming growth factor beta binding protein 1 (LTBP1). The LTBP1 protein is involved in the storage of transforming growth factor beta (TGF-β), a critical growth factor that helps control the growth and division (proliferation) of cells, the process by which cells mature to carry out specific functions (differentiation), cell movement (motility), and the self-destruction of cells (apoptosis). Through its interaction with the LTBP1 protein, researchers suspect that the ADAMTSL2 protein may help regulate the availability of TGF-β.The interaction between the ADAMTSL2 protein and the LTBP1 protein suggests that ADAMTSL2 may also play a role in the microfibrillar network. This organized clustering of thread-like filaments (called microfibrils) in the extracellular matrix provides strength and flexibility to tissues throughout the body.","Geleophysic dysplasia At least five mutations in the ADAMTSL2 gene have been identified in people with geleophysic dysplasia. Most of these mutations change single protein building blocks (amino acids) in the ADAMTSL2 protein, which probably alters the protein's 3-dimensional shape.Through a process that is poorly understood, ADAMTSL2 gene mutations alter the microfibrillar network in many different tissues. Impairment of this essential network disrupts the normal functions of cells, which likely contributes to the varied signs and symptoms of geleophysic dysplasia. Researchers are working to determine how mutations in the ADAMTSL2 gene lead to short stature, heart disease, and the other features of this condition. "
ADAMTSL4 ,ADAMTS like 4,"The ADAMTSL4 gene provides instructions for making a protein that is found throughout the body. The ADAMTSL4 protein is released from cells into the extracellular matrix, which is an intricate lattice of proteins and other molecules that forms in the spaces between cells. In this matrix, the ADAMTSL4 protein attaches (binds) to another protein called fibrillin-1. Fibrillin-1 proteins bind to each other and other proteins to form threadlike filaments called microfibrils. It is likely that the binding of ADAMTSL4 to fibrillin-1 promotes microfibril assembly. Microfibrils provide support to many tissues, including the lenses of the eyes, which are held in their central position by these filaments.","Isolated ectopia lentis At least 15 mutations in the ADAMTSL4 gene have been found to cause isolated ectopia lentis. In this condition, the lens in one or both eyes is off-center (displaced), which leads to vision problems. An ADAMTSL4 gene mutation that is frequently found in affected individuals of European ancestry deletes 20 DNA building blocks (nucleotides) from the gene (written as 767_787del20). This mutation leads to the production of a protein that is abnormally short and nonfunctional. A lack of functional ADAMTSL4 protein likely diminishes the ability of fibrillin-1 to effectively form microfibrils. As a result, there is a reduction in filaments to anchor the lens in its central position at the front of the eye, leading to its displacement and the vision problems characteristic of isolated ectopia lentis. While the ADAMTSL4 protein is found throughout the body, it is thought that other proteins can compensate for its function in tissues other than the eyes, which likely explains why only the eyes are affected in this condition. "
ADAR ,"adenosine deaminase, RNA specific","The ADAR gene provides instructions for making a protein called RNA-specific adenosine deaminase 1 (ADAR1). This protein is involved in making changes to (editing) ribonucleic acid (RNA), a chemical cousin of DNA. Specifically, it attaches (binds) to RNA and changes an RNA building block (nucleotide) called adenosine to another nucleotide called inosine.The ADAR1 protein is involved in the control of the innate immune response, which is the immune system's early response to foreign invaders (pathogens). The adenosine-to-inosine editing performed by ADAR1 is thought to change certain areas of the body's own RNA that the immune system might interpret as belonging to a virus that should be attacked. In this way, the protein helps the immune system avoid inappropriate targeting of the body's own tissues.The ADAR1 protein is also thought to inhibit the replication and spread of certain viruses, such as human immunodeficiency virus (HIV) and hepatitis C, by modifying their RNA. In addition, the ADAR1 protein controls the function of certain chemical messengers called neurotransmitters at particular sites in the body by modifying the RNA blueprint for receptor proteins that interact with the neurotransmitters. Studies suggest that the ADAR1 protein may have other functions that are not well understood.","Aicardi-Goutières syndrome At least 30 ADAR gene mutations have been identified in people with Aicardi-Goutières syndrome, a disorder that involves severe brain dysfunction (encephalopathy), skin lesions, immune system abnormalities, and other health problems. Some of these mutations lead to an ADAR1 protein that is less able to bind to RNA; others impair the protein's RNA editing function. As a result, control of the immune response is impaired and the immune system attacks the body's own tissues and organs, leading to the signs and symptoms of Aicardi-Goutières syndrome. "
ADCY5 ,adenylate cyclase 5,"The ADCY5 gene provides instructions for making an enzyme called adenylate cyclase 5. This enzyme helps convert a molecule called adenosine triphosphate (ATP) to another molecule called cyclic adenosine monophosphate (cAMP). ATP is a molecule that supplies energy for cells' activities, including muscle contraction, and cAMP is involved in signaling for many cellular functions.","ADCY5-related dyskinesia At least six ADCY5 gene mutations have been identified in people with ADCY5-related dyskinesia, a disorder that causes abnormal involuntary movements. These mutations are thought to enhance adenylate cyclase 5 enzyme activity and lead to higher levels of cAMP within cells, so they are described as ""gain-of-function"" mutations. Other ADCY5 gene mutations prevent production of adenylate cyclase 5. It is unclear how either type of mutation leads to the abnormal movements that occur in this disorder. "
ADGRE2 ,adhesion G protein-coupled receptor E2,"The ADGRE2 gene provides instructions for making a protein found in several types of immune system cells, including mast cells. Mast cells, which are found in many body tissues including the skin, are important for the normal protective functions of the immune system. They also play a role in allergic reactions, which occur when the immune system overreacts to stimuli that are not harmful. The specific role of the ADGRE2 protein in mast cells is not well understood.The ADGRE2 protein consists of two parts (subunits) that interact with each other: an alpha subunit that lies on the outside surface of the cell and a beta subunit that crosses the cell membrane and extends into the cell.","Vibratory urticaria At least one mutation in the ADGRE2 gene has been identified in people with vibratory urticaria, a condition in which vibration, repetitive stretching, or friction on the skin results in allergy symptoms such as hives (urticaria), swelling (angioedema), redness (erythema), and itching (pruritus) in the affected area. The reaction can be brought on by towel drying, hand clapping, running, a bumpy ride in a vehicle, or other repetitive stimulation.The ADGRE2 gene mutation that causes vibratory urticaria, written as Cys492Tyr or C492Y, replaces the protein building block (amino acid) cysteine with the amino acid tyrosine at position 492 of the protein sequence. The substitution alters the protein structure and leads to a less stable interaction between the two subunits. This fragile connection can be more easily broken; vibration, friction, or stretching of the skin can disrupt the association between subunits in mast cells. Researchers suggest that once the subunits are disconnected, the beta subunit signals the mast cells to react and produce the allergy symptoms in the skin that occur in vibratory urticaria. "
ADGRG1 ,adhesion G protein-coupled receptor G1,"The ADGRG1 gene, formerly known as GPR56, provides instructions for making a protein that is critical for normal brain development. Before birth, the ADGRG1 protein appears to be essential for the normal growth and movement (migration) of nerve cells (neurons) in a part of the brain called the cerebral cortex. This outer layer of the brain carries out many important functions, such as sensation, voluntary muscle movement, thought, planning, and memory.Although the ADGRG1 protein has been studied most extensively in the brain, it is active in many of the body's tissues. This protein interacts with other proteins on the cell surface to trigger a series of chemical signals within the cell. Studies suggest that ADGRG1 signaling may play an important role in attaching cells to one another (cell adhesion).","Polymicrogyria At least eleven mutations in the ADGRG1 gene have been identified in people with a severe form of polymicrogyria called bilateral frontoparietal polymicrogyria (BFPP). This disorder causes intellectual disability, delayed development, problems with speech and movement, and recurrent seizures (epilepsy). Most of the identified mutations change a single protein building block (amino acid) in the ADGRG1 protein. These mutations interfere with the normal processing of the protein. The abnormal protein becomes trapped within the cell, where it is unable to reach the cell surface to carry out its normal signaling functions.A loss of ADGRG1 protein function likely disrupts the normal migration of neurons in the developing brain. As a result, certain regions of the cerebral cortex—areas known as the frontal and parietal lobes—develop too many folds (called gyri), and the folds are unusually small. These brain abnormalities cause intellectual disability and the other neurological problems associated with bilateral frontoparietal polymicrogyria. "
ADNP ,activity dependent neuroprotector homeobox,"The ADNP gene provides instructions for making a protein that helps control the activity (expression) of other genes through a process called chromatin remodeling. Chromatin is the network of DNA and protein that packages DNA into chromosomes. The structure of chromatin can be changed (remodeled) to alter how tightly DNA is packaged. Chromatin remodeling is one way gene expression is regulated during development; when DNA is tightly packed, gene expression is lower than when DNA is loosely packed. As part of the remodeling process, the ADNP protein attaches to DNA and interacts with groups of proteins called SWI/SNF complexes, which direct changes in the structure of chromatin.By regulating gene expression, the ADNP protein is involved in many aspects of development. It is particularly important for regulation of genes involved in normal brain development, and it likely controls the activity of genes that direct the development and function of other body systems.","ADNP syndrome At least 22 ADNP gene mutations have been found to cause ADNP syndrome. This condition features intellectual disability and autism spectrum disorder, which is characterized by impaired communication and social interactions. Affected individuals can also have distinctive facial features and a wide variety of other signs and symptoms. Most ADNP gene mutations are thought to lead to the production of an abnormally short ADNP protein. Although it is unclear how these genetic changes cause ADNP syndrome, researchers speculate that the abnormally short protein can attach to DNA but cannot interact with SWI/SNF complexes. As a result, chromatin remodeling is impaired. Disturbance of this process alters the activity of many genes and disrupts the development or function of several of the body's tissues and organs, including the brain. These changes likely explain the intellectual disability, autism spectrum disorder, and other diverse signs and symptoms of ADNP syndrome. "
ADSL ,adenylosuccinate lyase,"The ADSL gene provides instructions for making an enzyme called adenylosuccinate lyase. This enzyme performs two steps in the process that produces (synthesizes) purine nucleotides. These nucleotides are building blocks of DNA, its chemical cousin RNA, and molecules such as ATP that serve as energy sources in the cell. Adenylosuccinate lyase and other enzymes involved in purine synthesis form a group of proteins (a protein complex) called the purinosome. This complex comes together when there is a shortage of purines or when a large amount of purines is needed, such as during cell division. As part of this complex, adenylosuccinate lyase converts a molecule called succinylaminoimidazole carboxamide ribotide (SAICAR) to aminoimidazole carboxamide ribotide (AICAR) and converts succinyladenosine monophosphate (SAMP) to adenosine monophosphate (AMP).","Adenylosuccinate lyase deficiency More than 50 mutations in the ADSL gene have been found to cause adenylosuccinate lyase deficiency. This condition causes brain dysfunction (encephalopathy) that leads to delayed development of mental and motor skills (psychomotor delay), autistic behaviors that affect communication and social interaction, and seizures. Most of the mutations involved in this condition change single protein building blocks (amino acids) in the adenylosuccinate lyase enzyme. The altered enzymes have two to 20 percent of normal function, and studies suggest they are less able to form stable purinosomes.A reduction of adenylosuccinate lyase function, possibly due to a shortage of purinosomes, leads to buildup of SAICAR and SAMP. These substances are converted through a different reaction to succinylaminoimidazole carboxamide riboside (SAICAr) and succinyladenosine (S-Ado). Detection of these substances in body fluids can help with diagnosis of adenylosuccinate lyase deficiency. Researchers believe that SAICAr and S-Ado are toxic; damage to brain tissue caused by one or both of these substances likely underlies the neurological problems that occur in adenylosuccinate lyase deficiency.Studies suggest that the amount of SAICAr relative to S-Ado reflects the severity of adenylosuccinate lyase deficiency. Individuals with more SAICAr than S-Ado have more severe encephalopathy and psychomotor delay. "
AFF2 ,AF4/FMR2 family member 2,"The AFF2 gene provides instructions for making a protein that is found in the nucleus of cells but whose function is not well understood. Some studies suggest that it acts as a transcription factor, which means that it attaches (binds) to specific regions of DNA and helps control the activity of other genes, although the identity of these genes is unknown. Other studies show that the protein can attach to specific regions of messenger RNA (mRNA), which is a chemical cousin of DNA that serves as the genetic blueprint for protein production. It is thought that the AFF2 protein helps control the process by which the mRNA blueprint is cut and rearranged to produce different versions of proteins (alternative splicing).One region of the AFF2 gene contains a particular DNA segment known as a CCG trinucleotide repeat, so called because this segment of three DNA building blocks (nucleotides) is repeated multiple times within the gene. In most people, the number of CCG repeats ranges from 4 to about 40.","Fragile XE syndrome Mutations in the AFF2 gene cause fragile XE syndrome, a condition characterized by mild intellectual disability and learning difficulties. Nearly all cases are caused by a mutation called a CCG trinucleotide repeat expansion, in which the CCG trinucleotide is abnormally repeated more than 200 times, which makes this region of the gene unstable. As a result, the AFF2 gene is turned off (silenced), and no protein is produced from it. It is unclear how a shortage of this protein leads to problems with intellectual functioning.Rarely, small deletions of genetic material from the AFF2 gene are associated with fragile XE syndrome, although how these deletions affect the protein and lead to intellectual disability is unknown. "
AFF4 ,AF4/FMR2 family member 4,"The AFF4 gene provides instructions for making part of a protein complex called the super elongation complex (SEC). During embryonic development, the SEC is involved in an activity called transcription, which is the first step in the production of proteins from genes. By re-starting the transcription of certain genes after pauses that normally occur during the process, the SEC helps ensure that development proceeds appropriately before birth.","CHOPS syndrome Mutations in the AFF4 gene cause CHOPS syndrome, a disorder involving multiple abnormalities that are present from birth (congenital). The name ""CHOPS"" is an abbreviation for a list of features of the disorder including cognitive impairment, coarse facial features, heart defects, obesity, lung (pulmonary) involvement, short stature, and skeletal abnormalities.The AFF4 gene mutations identified in people with CHOPS syndrome change single protein building blocks (amino acids) in the AFF4 protein. These mutations are thought to result in an AFF4 protein that is not broken down when it is no longer needed, so more AFF4 protein is available than usual. The excess AFF4 protein interferes with normal pauses in transcription. This dysregulation of transcription leads to problems in the development of multiple organs and tissues, resulting in the signs and symptoms of CHOPS syndrome. "
AGA ,aspartylglucosaminidase,"The AGA gene provides instructions for producing an enzyme called aspartylglucosaminidase. This enzyme is active in lysosomes, which are structures inside cells that act as recycling centers. Within lysosomes, the enzyme helps break down complexes of sugar molecules (oligosaccharides) attached to certain proteins (glycoproteins). Specifically, this enzyme cuts glycoproteins between a protein building block (amino acid) called asparagine and a sugar molecule called N-acetylglucosamine. This cut is one of the last steps in breaking down a glycoprotein in the lysosome.","Aspartylglucosaminuria More than 30 mutations in the AGA gene have been found to cause aspartylglucosaminuria. Most of these mutations change one amino acid in aspartylglucosaminidase. One mutation found in 98 percent of people with this condition in Finland replaces the amino acid cysteine with the amino acid serine at position 163 in the enzyme (written as Cys163Ser or C163S). Many mutations, including C163S, disrupt the proper folding of aspartylglucosaminidase, resulting in an enzyme that cannot effectively break down glycoproteins. A buildup of glycoproteins seems to particularly affect nerve cells in the brain; loss of these cells causes a progressive decline in mental functioning and the other signs and symptoms of aspartylglucosaminuria. "
AGL ,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","The AGL gene provides instructions for making the glycogen debranching enzyme. This enzyme is involved in the breakdown of a complex sugar called glycogen, which is a major source of stored energy in the body. Glycogen is made up of several molecules of a simple sugar called glucose. Some glucose molecules are linked together in a straight line, while others branch off and form side chains. The glycogen debranching enzyme is involved in the breakdown of these side chains. The branched structure of glycogen makes it more compact for storage and allows it to break down more easily when it is needed for fuel.The AGL gene provides instructions for making several different versions (isoforms) of the glycogen debranching enzyme. These isoforms vary by size and are active (expressed) in different tissues.","Glycogen storage disease type III Approximately 100 mutations in the AGL gene have been found to cause glycogen storage disease type III (also called GSDIII or Cori disease). Most of these mutations lead to a premature stop signal in the instructions for making the glycogen debranching enzyme, resulting in a nonfunctional enzyme. As a result, the side chains of glycogen molecules cannot be removed and abnormal, partially broken down glycogen molecules are stored within cells. A buildup of abnormal glycogen damages organs and tissues throughout the body, particularly the liver and muscles, leading to the signs and symptoms of GSDIII.Mutations in the AGL gene can affect different isoforms of the enzyme, depending on where the mutations are located in the gene. For example, mutations that occur in a part of the AGL gene called exon 3 affect the isoform that is primarily expressed in the liver. These mutations almost always lead to GSD type IIIb, which is characterized by liver problems. "
AGPAT2 ,1-acylglycerol-3-phosphate O-acyltransferase 2,"The AGPAT2 gene provides instructions for making an enzyme that is found in many of the body's cells and tissues. It plays a critical role in the growth and development of adipocytes, which are cells that store fats for energy. Adipocytes are the major component of the body's fatty (adipose) tissue.The AGPAT2 enzyme is part of a chemical pathway in many cells that produces two important types of fats (lipids): glycerophospholipids and triacylglycerols. Glycerophospholipids are the major component of cell membranes and are involved in chemical signaling within cells. Triacylglycerols (also known as triglycerides) are fat molecules that are stored in adipocytes for later conversion to energy.The AGPAT2 enzyme is responsible for a particular chemical reaction in the production of these two types of lipids. Specifically, the enzyme helps convert a molecule called lysophosphatidic acid (LPA) to another molecule, phosphatidic acid (PA). Additional reactions convert phosphatidic acid to glycerophospholipids and triacylglycerols.","Congenital generalized lipodystrophy At least 26 mutations in the AGPAT2 gene have been identified in people with congenital generalized lipodystrophy (also called Berardinelli-Seip congenital lipodystrophy) type 1. This rare condition is characterized by an almost total absence of adipose tissue and a very muscular appearance. A shortage of adipose tissue leads to multiple health problems, including high levels of triglycerides circulating in the bloodstream (hypertriglyceridemia) and diabetes mellitus.The AGPAT2 gene mutations that cause congenital generalized lipodystrophy type 1 greatly reduce or eliminate the activity of the AGPAT2 enzyme. Studies suggest that a loss of this enzyme's activity reduces the production and storage of triacylglycerols in adipocytes, which prevents these cells from storing fats. A lack of enzyme activity may also reduce the levels of glycerophospholipids in adipocytes, which changes the structure of the cell membrane and disrupts normal signaling within these cells. All of these abnormalities prevent the body from storing fats normally in adipose tissue. The resulting lack of body fat underlies the varied signs and symptoms of congenital generalized lipodystrophy type 1. "
AGPS ,alkylglycerone phosphate synthase,"The AGPS gene provides instructions for making an enzyme known as alkylglycerone phosphate synthase. This enzyme is found in structures called peroxisomes, which are sac-like compartments within cells that contain enzymes needed to break down many different substances. Peroxisomes are also important for the production of fats (lipids) used in digestion and in the nervous system.Within peroxisomes, alkylglycerone phosphate synthase is responsible for a critical step in the production of lipid molecules called plasmalogens. These molecules are found in cell membranes throughout the body. They are also abundant in myelin, which is the protective substance that covers nerve cells. However, little is known about the functions of plasmalogens. Researchers suspect that these molecules may help protect cells from oxidative stress, which occurs when unstable molecules called free radicals accumulate to levels that damage or kill cells. Plasmalogens may also play important roles in interactions between lipids and proteins, the transmission of chemical signals in cells, and the fusion of cell membranes.","Rhizomelic chondrodysplasia punctata At least three mutations in the AGPS gene have been found to cause rhizomelic chondrodysplasia punctata type 3 (RCDP3). These mutations change single protein building blocks (amino acids) in alkylglycerone phosphate synthase, which alters the structure of the enzyme and significantly reduces its activity. A shortage of functional alkylglycerone phosphate synthase disrupts peroxisome function and severely reduces the amount of plasmalogens within cells. It is unclear how these abnormalities lead to shortened long bones, intellectual disability, and the other characteristic features of RCDP3. "
AGT ,angiotensinogen,"The AGT gene provides instructions for making a protein called angiotensinogen. This protein is part of the renin-angiotensin system, which regulates blood pressure and the balance of fluids and salts in the body. In the first step of this process, angiotensinogen is converted to angiotensin I. Through an additional step, angiotensin I is converted to angiotensin II. Angiotensin II causes blood vessels to narrow (constrict), which results in increased blood pressure. This molecule also stimulates production of the hormone aldosterone, which triggers the absorption of salt and water by the kidneys. The increased amount of fluid in the body also increases blood pressure. Proper blood pressure during fetal growth, which delivers oxygen to the developing tissues, is required for normal development of the kidneys, particularly of structures called the proximal tubules, and other tissues. In addition, angiotensin II may play a more direct role in kidney development, perhaps by affecting growth factors involved in the development of kidney structures.","Renal tubular dysgenesis At least six mutations in the AGT gene have been found to cause a severe kidney disorder called renal tubular dysgenesis. This condition is characterized by abnormal kidney development before birth, the inability to produce urine (anuria), and severe low blood pressure (hypotension). These problems result in a reduction of amniotic fluid (oligohydramnios), which leads to a set of birth defects known as the Potter sequence.Renal tubular dysgenesis can be caused by mutations in both copies of any of the genes involved in the renin-angiotensin system. Most of the mutations in the AGT gene that cause this disorder change single protein building blocks (amino acids) in the angiotensinogen protein. These changes occur in a region of the protein that is necessary for its conversion to angiotensin I. It is thought that the altered angiotensinogen cannot be converted, leading to a nonfunctional renin-angiotensin system. Without this system, the kidneys cannot control blood pressure. Because of low blood pressure, the flow of blood is reduced (hypoperfusion), and the body does not get enough oxygen during fetal development. As a result, kidney development is impaired, leading to the features of renal tubular dysgenesis. "
AGTR1 ,angiotensin II receptor type 1,"The AGTR1 gene provides instructions for making a protein called the angiotensin II receptor type 1 (AT1 receptor). This protein is part of the renin-angiotensin system, which regulates blood pressure and the balance of fluids and salts in the body. Through a series of steps, the renin-angiotensin system produces a molecule called angiotensin II, which attaches (binds) to the AT1 receptor, stimulating chemical signaling. This signaling causes blood vessels to narrow (constrict), which results in increased blood pressure. Binding of angiotensin II to the AT1 receptor also stimulates production of the hormone aldosterone, which triggers the absorption of water and salt by the kidneys. The increased amount of fluid in the body also increases blood pressure. Proper blood pressure during fetal growth, which delivers oxygen to the developing tissues, is required for normal development of the kidneys, particularly of structures called the proximal tubules, and other tissues. In addition, angiotensin II may play a more direct role in kidney development, perhaps by affecting growth factors involved in the development of kidney structures.","Renal tubular dysgenesis At least four mutations in the AGTR1 gene have been found to cause a severe kidney disorder called renal tubular dysgenesis. This condition is characterized by abnormal kidney development before birth, the inability to produce urine (anuria), and severe low blood pressure (hypotension). These problems result in a reduction of amniotic fluid (oligohydramnios), which leads to a set of birth defects known as the Potter sequence.Renal tubular dysgenesis can be caused by mutations in both copies of any of the genes involved in the renin-angiotensin system. The AGTR1 gene mutations that cause this disorder likely change or block the AT1 receptor's ability to stimulate signaling, which results in a nonfunctional renin-angiotensin system. Without this system, the kidneys cannot control blood pressure. Because of low blood pressure, the flow of blood is reduced (hypoperfusion), and the body does not get enough oxygen during fetal development. As a result, kidney development is impaired, leading to the features of renal tubular dysgenesis. "
AGXT ,alanine--glyoxylate and serine--pyruvate aminotransferase,"The AGXT gene provides instructions for making an enzyme called serine-pyruvate aminotransferase. This enzyme is found in liver cells, specifically within cell structures called peroxisomes. These structures are important for several cellular activities, such as ridding the cell of toxic substances and helping to break down certain fats. In the peroxisome, serine-pyruvate aminotransferase converts a compound called glyoxylate to the protein building block (amino acid) glycine.","Primary hyperoxaluria More than 175 mutations in the AGXT gene have been found to cause primary hyperoxaluria type 1. This condition is caused by the overproduction of a substance called oxalate. Excess amounts of this substance lead to kidney and bladder stones, which can begin anytime from childhood to early adulthood with kidney disease developing at any age. Deposition of oxalate in multiple other tissues throughout the body (systemic oxalosis) can cause additional health problems.Most of the AGXT gene mutations decrease or eliminate serine-pyruvate aminotransferase activity, which impairs the conversion of glyoxylate to glycine. Other mutations cause the enzyme to be misplaced in cells, transporting it to structures called mitochondria instead of to peroxisomes. While the enzyme in the mitochondria retains activity, it cannot access glyoxylate, which is in peroxisomes. All AGXT gene mutations result in the accumulation of glyoxylate, which is converted to oxalate instead of glycine. The oxalate is filtered through the kidneys and is either excreted in urine as a waste product or combines with calcium to form calcium oxalate, a hard compound that is the main component of kidney and bladder stones. Increased oxalate levels in the blood can lead to systemic oxalosis, particularly affecting bones and the walls of blood vessels in people with primary hyperoxaluria type 1. "
AHCY ,adenosylhomocysteinase,"The AHCY gene provides instructions for producing the enzyme S-adenosylhomocysteine hydrolase. This enzyme is involved in a multistep process that breaks down the protein building block (amino acid) methionine. Specifically, S-adenosylhomocysteine hydrolase controls the step that converts the compound S-adenosylhomocysteine to the compounds adenosine and homocysteine. This reaction also plays an important role in regulating the addition of methyl groups, consisting of one carbon atom and three hydrogen atoms, to other compounds (methylation). Methylation is important in many cellular processes. These include determining whether the instructions in a particular segment of DNA are carried out, regulating reactions involving proteins and lipids, and controlling the processing of chemicals that relay signals in the nervous system (neurotransmitters).","Hypermethioninemia Three mutations in the AHCY gene have been described in people with hypermethioninemia. In a Croatian family, one mutation substitutes the amino acid cysteine for the amino acid tyrosine at protein position 143 (written as Tyr143Cys or Y143C). Another mutation replaces the amino acid tryptophan with a premature stop signal at position 112 (written as Trp112X or W112X), resulting in an enzyme that is abnormally short. A U.S. patient was found to have, in addition to the Y143C mutation, a mutation that substitutes the amino acid valine for the amino acid alanine at position 89 (written as Ala89Val or A89V). These mutations reduce the activity of the S-adenosylhomocysteine hydrolase enzyme, resulting in the signs and symptoms of hypermethioninemia. "
AHDC1 ,AT-hook DNA binding motif containing 1,"The AHDC1 gene provides instructions for making a protein whose function is not known. The AHDC1 protein is found in the nucleus of cells, and a region of the protein is thought to allow it to attach (bind) to DNA. Based on its location and possible DNA-binding ability, researchers suspect the protein may help control the activity of other genes.","Xia-Gibbs syndrome More than 25 mutations in the AHDC1 gene have been found to cause Xia-Gibbs syndrome, a neurological disorder characterized by intellectual disability and delayed speech development. A variety of other signs and symptoms can also occur in this disorder, such as weak muscle tone, growth impairment, and unusual facial features. Most of the AHDC1 gene mutations involved in Xia-Gibbs syndrome lead to production of abnormally short AHDC1 proteins. The effects of these changes in cells are unclear. The shortened proteins may be quickly broken down or be unable to function. Or, the abnormal proteins may interfere with the function of AHDC1 proteins produced from the normal copy of the gene. Some people with Xia-Gibbs syndrome have a mutation that removes (deletes) the AHDC1 gene (and other nearby genes), although it is unclear if such mutations cause the condition.Researchers suspect that a reduction in the amount of functional AHDC1 protein prevents normal brain development, leading to intellectual disability, speech problems, and other neurological features of Xia-Gibbs syndrome. Abnormal development of other body systems caused by a shortage of AHDC1 protein may account for additional signs and symptoms of the condition. "
